"Paragraf";"2009";"2010";"2011";"2012";"2013";"2014" 
"05 Statsministeriet";0.0;0.0;-0.4;-0.4;-0.5;-0.6
"06 Udenrigsministeriet";0.0;0.0;-110.4;58.6;21.3;20.9
"07 Finansministeriet";0.0;0.0;955.6;581.6;581.2;580.9
"08 Erhvervs- og Vækstministeriet";0.0;0.0;124.0;-84.1;-45.4;-60.3
"09 Skatteministeriet";0.0;0.0;25.7;33.5;33.5;33.7
"11 Justitsministeriet";0.0;0.0;512.2;-20.6;-23.3;-26.5
"12 Forsvarsministeriet";0.0;0.0;-21.0;-36.8;-43.7;-46.4
"15 Socialministeriet";0.0;0.0;-459.9;119.1;93.0;73.7
"16 Indenrigs- og Sundhedsministeriet";0.0;0.0;-31.2;342.5;387.3;574.0
"17 Beskæftigelsesministeriet";0.0;0.0;-1482.9;-2048.2;-1811.4;-1795.7
"18 Integrationsministeriet";0.0;0.0;321.8;95.1;116.4;141.4
"19 Videnskabsministeriet";0.0;0.0;1020.3;233.1;-28.2;-29.2
"20 Undervisningsministeriet";0.0;0.0;39.5;735.2;962.3;1212.5
"21 Kulturministeriet";0.0;0.0;6.0;7.0;-1.5;-1.9
"22 Kirkeministeriet";0.0;0.0;-0.2;-0.2;-0.2;-0.2
"23 Miljøministeriet";-0.0;0.0;-3.1;-25.5;-4.0;-8.4
"24 Fødevareministeriet";0.0;0.0;52.0;50.1;49.6;49.3
"28 Transportministeriet";0.0;0.0;-404.4;-264.5;-265.5;-272.9
"29 Klima- og Energiministeriet";0.0;0.0;666.5;164.3;-3.3;102.9
"35 Generelle reserver";0.0;0.0;-2966.1;-0.5;216.0;-59.3
"36 Pensionsvæsenet";0.0;0.0;-818.9;40.9;39.4;36.7
"37 Renter";0.0;0.0;-2553.6;0.0;0.0;0.0
"38 Skatter og afgifter";0.0;0.0;-13432.0;0.0;0.0;0.0
"40 Genudlån mv";0.0;0.0;-4078.2;0.0;0.0;0.0
"41 Beholdningsbevægelser mv";0.0;0.0;164.9;0.0;0.0;0.0
"42 Afdrag på statsgælden (netto)";0.0;0.0;22072.4;0.0;0.0;0.0
